Country,Population,Intervention,Guideline Comparators,HTA Comparators,Source Types
AT,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),docetaxel,docetaxel,"Clinical Guideline, Hta Submission"
DE,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"docetaxel + nintedanib, pemetrexed, sotorasib","afatinib, atezolizumab, docetaxel + nintedanib, docetaxel...","Clinical Guideline, Hta Submission"
DK,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"adagrasib, docetaxel, sotorasib","adagrasib, docetaxel","Clinical Guideline, Hta Submission"
EN,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"docetaxel, docetaxel + nintedanib","docetaxel, docetaxel + nintedanib","Clinical Guideline, Hta Submission"
FR,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"adagrasib, chemotherapy","adagrasib, atezolizumab, nivolumab, pembrolizumab (if PD-...","Clinical Guideline, Hta Submission"
IT,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),chemotherapy,chemotherapy,"Clinical Guideline, Hta Submission"
NL,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"chemotherapy, docetaxel, erlotinib-tivantinib, gemcitabin...","chemotherapy, docetaxel, pemetrexed","Clinical Guideline, Hta Submission"
PO,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"adagrasib, docetaxel, docetaxel + nintedanib, pemetrexed","ALK inhibitors (if ALK gene rearrangement), EGFR inhibito...","Clinical Guideline, Hta Submission"
PT,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),"docetaxel, docetaxel + nintedanib, pemetrexed","atezolizumab, docetaxel, docetaxel + nintedanib, nivoluma...","Clinical Guideline, Hta Submission"
SE,Adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12...,Medicine X (under assessment),docetaxel,docetaxel,"Clinical Guideline, Hta Submission"
